year,name,category,description,Place,note
1963,Kennedy assassinated,politics,"Dallas, Texas.",,
1968,MLK assassinated,politics,"Memphis, Tennessee.",,
1968,Prague Spring,politics,Crushed by Warsaw Pact invasion.,,
1972,Nixon visits China,politics,US-China rapprochement.,,
1972,Watergate break-in,politics,Scandal that brings down Nixon.,,
1974,Nixon resigns,politics,First US president to resign.,,
1979,Iranian Revolution,politics,Khomeini overthrows Shah.,,
1981,Reagan assassination attempt,politics,Hinckley shoots the President.,,
1985,Gorbachev becomes Soviet leader,politics,Glasnost and perestroika begin.,,
1987,Tear down this wall speech,politics,Reagan at Brandenburg Gate.,,
1989,Fall of Berlin Wall,politics,End of the Cold War era.,,
1989,Tiananmen Square protests,politics,Chinese government crackdown.,,
1990,Mandela released,politics,After 27 years in prison.,,
1991,Soviet Union dissolved,politics,15 successor states.,,
1992,Maastricht Treaty,politics,European Union founded.,,
1994,Mandela elected President,politics,First democratic election in South Africa.,,
1995,Dayton Accords,politics,End of Bosnian War.,,
1997,Hong Kong handover,politics,British colony returns to China.,,
1998,Good Friday Agreement,politics,Peace in Northern Ireland.,,
2008,Obama elected,politics,First African-American US president.,,
2010,Arab Spring begins,politics,Tunisian Revolution sparks regional uprisings.,,
2013,Snowden revelations,politics,NSA surveillance exposed.,,
2015,Paris Climate Agreement,politics,Global commitment to emissions.,,
2016,Brexit referendum,politics,UK votes to leave EU.,,
2016,Trump elected,politics,Disrupts US political establishment.,,
2019,Hong Kong protests,politics,Massive demonstrations for democracy.,,
2020,George Floyd protests,politics,Global Black Lives Matter mobilization.,,
2021,January 6 Capitol attack,politics,US Capitol breached.,,
2022,Queen Elizabeth II dies,politics,After 70-year reign.,,
2024,US presidential election,politics,Trump returns to office.,,
-1500,Vedas composed,religion,"Earliest Hindu scriptures, ancient India.",,
-960,Solomon's Temple built,religion,First Temple in Jerusalem.,,
-625,Lao Tzu born (traditional),religion,"Founder of Taoism, China.",,
-563,Birth of the Buddha,religion,Siddhartha Gautama born in Lumbini.,,
-551,Confucius born,religion,Chinese philosopher and teacher.,,
-4,Birth of Jesus (traditional),religion,Bethlehem.,,
33,Crucifixion of Jesus,religion,Traditional date.,,
312,Conversion of Constantine,religion,Battle of Milvian Bridge.,,
313,Edict of Milan,religion,Christianity legalized in Roman Empire.,,
325,Council of Nicaea,religion,First ecumenical council.,,
380,Christianity official Roman religion,religion,Edict of Thessalonica.,,
570,Birth of Muhammad,religion,In Mecca.,,
610,Muhammad's first revelation,religion,In the cave of Hira.,,
622,Hijra to Medina,religion,Year 1 of the Islamic calendar.,,
632,Death of Muhammad,religion,Rashidun Caliphate begins.,,
988,Conversion of Kievan Rus,religion,Vladimir adopts Orthodox Christianity.,,
1054,Great Schism,religion,Catholic and Orthodox churches split.,,
1095,First Crusade declared,religion,Pope Urban II at Clermont.,,
1209,Albigensian Crusade,religion,Against Cathars in southern France.,,
1273,Aquinas Summa Theologica,religion,Defining work of scholastic theology.,,
1307,Templars suppressed,religion,Philip IV arrests the order in France.,,
1309,Avignon Papacy begins,religion,Popes move to France.,,
1378,Western Schism,religion,Rival popes in Rome and Avignon.,,
1478,Spanish Inquisition begins,religion,Ferdinand and Isabella authorize.,,
1517,Luther's 95 Theses,religion,Protestant Reformation begins.,,
1517,Reformation begins,religion,Luther posts the 95 Theses.,,
1521,Diet of Worms,religion,Luther refuses to recant.,,
1534,Act of Supremacy,religion,Henry VIII heads Church of England.,,
1545,Council of Trent begins,religion,Counter-Reformation.,,
1611,King James Bible,religion,Authorized English translation.,,
1633,Galileo trial,religion,Forced to recant heliocentrism.,,
-1750,Code of Hammurabi,law,First written legal code in Babylon.,,
1086,Domesday Book,law,William I survey of England.,,
1215,Magna Carta,law,King John signs at Runnymede.,,
1598,Edict of Nantes,law,Religious toleration for Huguenots.,,
1689,English Bill of Rights,law,Constitutional limits on monarchy.,,
1787,US Constitution drafted,law,Philadelphia Convention.,,
1791,US Bill of Rights ratified,law,First ten amendments.,,
1807,Britain abolishes slave trade,law,Slave Trade Act.,,
1820,Missouri Compromise,law,US slavery balance maintained.,,
1833,British abolish slavery,law,Slavery Abolition Act.,,
1863,Emancipation Proclamation,law,Lincoln frees Confederate slaves.,,
1864,Geneva Convention,law,Rules of war and Red Cross founded.,,
1920,19th Amendment ratified,law,US women win the vote.,,
1935,Nuremberg Laws,law,Anti-Jewish legislation in Germany.,,
1954,Brown v. Board of Education,law,US school segregation unconstitutional.,,
1964,Civil Rights Act,law,US bans racial discrimination.,,
1965,Voting Rights Act,law,US protects minority voting.,,
1973,Roe v. Wade,law,US Supreme Court on abortion.,,
2015,Same-sex marriage legalized US,law,Obergefell v. Hodges.,,
-540,Pythagoras flourishes,science,Greek mathematician and mystic.,,
-300,Euclid's Elements,science,"Foundational geometry text, Alexandria.",,
820,Algebra invented,science,Al-Khwarizmi in Baghdad.,,
1543,Copernicus De Revolutionibus,science,Heliocentric model published.,,
1543,Vesalius On the Fabric,science,Modern anatomy founded.,,
1564,Birth of Galileo,science,Italian astronomer and physicist.,,
1582,Gregorian calendar,science,Pope Gregory XIII reforms the calendar.,,
1609,Galileo's telescope,science,Astronomical observations begin.,,
1610,Galileo discovers Jupiter's moons,science,Four Galilean moons found.,,
1620,Bacon's Novum Organum,science,Scientific method codified.,,
1632,Galileo Dialogue published,science,Two World Systems; tried by Inquisition.,,
1637,Descartes Discourse on Method,science,Cogito ergo sum.,,
1660,Royal Society chartered,science,England's scientific academy.,,
1666,Newton's annus mirabilis,science,"Calculus, optics, gravitation.",,
1675,Royal Observatory Greenwich,science,Founded for navigation.,,
1687,Newton's Principia,science,Mathematical laws of motion and gravity.,,
1735,Linnaeus Systema Naturae,science,Modern taxonomy founded.,,
1796,Jenner smallpox vaccine,science,First vaccine in history.,,
1799,Rosetta Stone discovered,science,Key to Egyptian hieroglyphs.,,
1831,Faraday electromagnetic induction,science,Foundation of electric generators.,,
1859,Darwin's Origin of Species,science,Theory of evolution by natural selection.,,
1866,Mendel's laws of inheritance,science,Foundation of genetics.,,
1873,Maxwell electromagnetism,science,Unified theory of light and electricity.,,
1888,Hertz proves radio waves,science,Experimental confirmation of Maxwell.,,
1895,Roentgen discovers X-rays,science,New form of radiation.,,
1898,Discovery of radium,science,Marie and Pierre Curie.,,
1900,Planck quantum hypothesis,science,Birth of quantum theory.,,
1905,Einstein Annus Mirabilis,science,"Special relativity, photoelectric, Brownian motion, E=mcÂ².",,
1913,Bohr atomic model,science,Quantized electron orbits.,,
1915,Einstein general relativity,science,New theory of gravity.,,
1922,Tutankhamun's tomb discovered,science,Howard Carter in the Valley of the Kings.,,
1928,Penicillin discovered,science,Alexander Fleming.,,
1953,DNA structure discovered,science,Watson and Crick double helix.,,
1958,NASA founded,science,US response to Sputnik.,,
1960,Birth control pill approved,science,FDA approves Enovid.,,
1967,First heart transplant,science,Christiaan Barnard in South Africa.,,
1978,First test-tube baby,science,Louise Brown via IVF.,,
1990,Hubble telescope launched,science,Space-based observatory.,,
1996,Dolly the sheep cloned,science,First mammal cloned from adult cell.,,
2003,Human Genome sequenced,science,Complete reference genome.,,
2012,Higgs boson discovered,science,CERN announces discovery.,,
2017,Total solar eclipse US,science,Path of totality across America.,,
2018,CRISPR-edited babies,science,He Jiankui announces genetically modified twins.,,
2024,AI Nobel Prizes,science,Physics and Chemistry both for AI work.,,
-4500,Wheel invented,invention,First evidence of the wheel in Mesopotamia.,,
-3500,Cuneiform script,invention,"Earliest writing system, Sumer.",,
-3200,Egyptian hieroglyphs,invention,Earliest known hieroglyphic writing.,,
-1100,Phoenician alphabet,invention,First widely-used alphabet.,,
105,Paper invented in China,invention,Cai Lun develops papermaking.,,
868,Diamond Sutra printed,invention,"Earliest dated printed book, China.",,
1455,Gutenberg Bible printed,invention,First major book printed with movable type.,,
1709,Iron smelted with coke,invention,Abraham Darby; Industrial Revolution input.,,
1712,Newcomen Steam Engine,invention,First practical atmospheric steam engine.,,
1764,Spinning Jenny,invention,Hargreaves transforms textiles.,,
1769,Watt's Steam Engine patent,invention,Modern steam engine; Industrial Revolution.,,
1783,Montgolfier balloon flight,invention,First human flight.,,
1807,Fulton's steamboat,invention,First commercial steamboat.,,
1814,Stephenson's locomotive,invention,First practical steam locomotive.,,
1821,Faraday's electric motor,invention,First electromagnetic rotary device.,,
1825,First passenger railway,invention,Stockton & Darlington Railway opens.,,
1834,Mechanical refrigeration,invention,Jacob Perkins patents vapor compression -- the invention of ice.,,
1839,Daguerreotype announced,invention,First practical photographic process.,,
1844,Telegraph: What hath God wrought,invention,Morse's first long message.,,
1859,First commercial oil well,invention,Drake well in Pennsylvania.,,
1876,Bell patents telephone,invention,Voice transmission over wires.,,
1877,Edison phonograph,invention,First sound recording device.,,
1879,Edison's incandescent bulb,invention,Practical electric lighting.,,
1882,Edison electric grid,invention,"Pearl Street Station, NYC.",,
1885,Benz Patent Motorwagen,invention,First automobile.,,
1895,Lumiere brothers cinema,invention,"First public film screening, Paris.",,
1901,Marconi transatlantic radio,invention,First wireless transmission across Atlantic.,,
1903,Wright Brothers first flight,invention,Kitty Hawk powered flight.,,
1908,Ford Model T,invention,Affordable automobile for the masses.,,
1927,Lindbergh transatlantic flight,invention,"Spirit of St Louis, NYC to Paris.",,
1947,Transistor invented,invention,Bell Labs; modern electronics.,,
1957,Sputnik launched,invention,First artificial satellite; Space Age begins.,,
1958,Integrated circuit,invention,Jack Kilby at Texas Instruments.,,
1969,Apollo 11 moon landing,invention,Armstrong walks on the moon.,,
1971,Microprocessor invented,invention,Intel 4004.,,
1981,IBM PC released,invention,Personal computing standardized.,,
1984,Apple Macintosh,invention,GUI for the masses.,,
1991,World Wide Web public,invention,Tim Berners-Lee releases WWW.,,
2007,iPhone introduced,invention,Mobile computing era begins.,,
2007,iPhone introduced (initial),invention,Smartphone era begins.,,
2009,Bitcoin genesis block,invention,First cryptocurrency launched.,,
2022,ChatGPT released,invention,Large-language-model era reaches public.,,
2023,GPT-4 released,invention,Multimodal AI reaches mainstream.,,
-2100,Epic of Gilgamesh recorded,culture,Oldest preserved literary work.,,
-800,Homer's epics composed,culture,Iliad and Odyssey take shape.,,
-776,First Olympic Games,culture,"Olympia, Greece.",,
-399,Trial and death of Socrates,culture,Athenian philosopher executed.,,
-387,Plato founds the Academy,culture,First institution of higher learning.,,
-335,Aristotle founds Lyceum,culture,Athens; tutor of Alexander.,,
-250,Library of Alexandria flourishes,culture,Greatest library of antiquity.,,
600,Gregorian chant codified,culture,Pope Gregory the Great.,,
1126,Averroes born,culture,Andalusian polymath.,,
1220,University of Paris chartered,culture,Formal recognition.,,
1469,Birth of Machiavelli,culture,Florentine political theorist.,,
1503,Mona Lisa painted,culture,Leonardo begins the portrait.,,
1508,Sistine Chapel ceiling,culture,Michelangelo begins the work.,,
1564,Birth of Shakespeare,culture,Stratford-upon-Avon.,,
1605,Don Quixote published,culture,Cervantes; modern novel begins.,,
1721,Bach Brandenburg Concertos,culture,High Baroque masterpiece.,,
1725,Bach Well-Tempered Clavier I,culture,Foundation of tonal music.,,
1751,Encyclopedie begins,culture,Diderot and d'Alembert's great work.,,
1851,Great Exhibition London,culture,Crystal Palace; first world's fair.,,
1896,Athens Olympics,culture,First modern Olympic Games.,,
1925,Scopes Monkey Trial,culture,Evolution on trial in Tennessee.,,
1927,First talking film,culture,The Jazz Singer.,,
1970,First Earth Day,culture,Environmental movement crystallizes.,,
1977,First Star Wars film,culture,Blockbuster era begins.,,
1980,CNN launched,culture,First 24-hour news network.,,
2000,Y2K transition,culture,Feared computer disaster averted.,,
2001,Wikipedia launched,culture,Free online encyclopedia.,,
2005,YouTube launched,culture,Video sharing transforms media.,,
2006,Twitter launched,culture,Microblogging emerges.,,
1397,Medici Bank founded,commerce,Florence; financiers of the Renaissance.,,
1502,First African slaves to Americas,commerce,Transatlantic slave trade begins.,,
1600,British East India Company,commerce,Royal charter granted.,,
1602,Dutch East India Company,commerce,First multinational corporation.,,
1886,Coca-Cola invented,commerce,"Atlanta, Georgia.",,
1903,Ford Motor Company,commerce,"Detroit, Michigan.",,
1975,Microsoft founded,commerce,Gates and Allen.,,
1976,Apple founded,commerce,Jobs and Wozniak.,,
1998,Google founded,commerce,Page and Brin at Stanford.,,
2004,Facebook launched,commerce,Social media transforms communication.,,
1776,Wealth of Nations,economics,Adam Smith founds modern economics.,,
1867,Marx's Capital Volume I,economics,Critique of political economy.,,
1929,Wall Street Crash,economics,Great Depression begins.,,
1947,Marshall Plan,economics,US aid rebuilds Europe.,,
1973,OPEC oil embargo,economics,Energy crisis hits the West.,,
1999,Euro currency introduced,economics,European single currency.,,
2002,Euro physical currency,economics,Euro notes and coins circulate.,,
2008,Global Financial Crisis,economics,Lehman collapse.,,
1271,Marco Polo journeys east,exploration,Begins journey to China.,,
1295,Marco Polo returns,exploration,Account of travels published.,,
1488,Bartolomeu Dias rounds Cape,exploration,First European to round Africa.,,
1492,Columbus reaches Americas,exploration,European contact with the New World.,,
1498,Vasco da Gama reaches India,exploration,First sea route to India.,,
1513,Balboa reaches Pacific,exploration,First European on the Pacific from the New World.,,
1519,Magellan begins circumnavigation,exploration,Spanish expedition departs.,,
1909,Peary at the North Pole,exploration,Or so he claimed.,,
1911,Amundsen at South Pole,exploration,First confirmed to reach.,,
1961,Gagarin in space,exploration,First human in orbit.,,
1968,Apollo 8 orbits Moon,exploration,Earthrise photograph.,,
1825,Erie Canal opens,engineering,NYC to Great Lakes.,,
1869,Suez Canal opens,engineering,Connects Mediterranean and Red Sea.,,
1869,Transcontinental Railroad,engineering,US east and west coasts connected.,,
1914,Panama Canal opens,engineering,Atlantic-Pacific shortcut.,,
-1200,Bronze Age Collapse,disaster,Mediterranean civilizations collapse simultaneously.,,
535,Volcanic winter of 536,disaster,Worst climate catastrophe in 2000 years.,,
1838,Trail of Tears,disaster,Forced Cherokee relocation.,,
1912,Titanic sinks,disaster,1500 dead in North Atlantic.,,
1918,Spanish Flu pandemic,disaster,~50 million dead worldwide.,,
1981,AIDS first identified,disaster,Beginning of the epidemic.,,
2003,Space Shuttle Columbia,disaster,Lost during re-entry.,,
2010,Deepwater Horizon spill,disaster,Largest marine oil spill in history.,,
2020,COVID-19 pandemic,disaster,Global lockdowns.,,
-1200,Trojan War (traditional date),conflict,Mythic siege of Troy.,,
-2334,Sargon of Akkad,conquest,First known empire founded.,,
122,Hadrian's Wall built,monument,Frontier of Roman Britain.,,
