key,name,why
pl-580072,Phaleron,"The open beach Athens used before Piraeus was fortified. Ships were run up the sand rather than moored, which is why Themistokles moved the fleet."
pl-580021,Marathon,"A coastal plain with marsh at both ends, so a landing force had to fight on a front the ground chose. The Athenians held the high edge and closed it."
pl-580101,Salamis (island),"The island that makes the Saronic Gulf a set of channels rather than open water. A fleet lured into the strait could not use its numbers, and in 480 BC the Persian fleet was."
pl-579920,Eleusis,"The sanctuary of the Mysteries, on the bay at the end of the Sacred Way. Twenty kilometres from Athens — near enough to walk in procession, far enough to be its own place."
pl-580010,Laureion,"The silver. The hills south of Athens held argentiferous lead, and the fleet that fought at Salamis was paid for out of a single rich strike in 483 BC."
pl-580119,Thorikos,"The port and processing site for the Laureion mines, with washeries for the ore and the earliest surviving Greek theatre — an industrial town that could afford one."
pl-580097,Rhamnous,"A fortress on the cliff above the Euboean strait, watching the sea road that grain convoys used to reach Athens from the north."
pl-540756,Eleutherai,"A fort in the pass over Kithairon between Attica and Boeotia — the land route an army from Thebes had to take."
pl-579907,Dekeleia,"High ground overlooking the Athenian plain and the road to Euboea. Sparta fortified it in 413 BC and Athens lost the use of her own countryside for the rest of the war."
pl-540726,Delphi,"A terrace on the cliffs of Parnassus where the oracle sat, reachable from every Greek state and belonging to none. Its neutrality was a fact of geography before it was a policy."
pl-570182,Corinthus/Korinthos,"The city on the isthmus, holding the only land route into the Peloponnese and two harbours on two seas. Whoever held Corinth decided who moved."
pl-541138,Thebai/Thebae,"The chief city of the Boeotian plain, on the flat ground an army from the north crosses to reach Attica. Athens and Thebes fought over the passes between them for two centuries."
pl-570468,Megara,"Between Athens and Corinth on the coast road, with mountains behind. Small, and unavoidable — which is why an Athenian trade embargo on it helped start a war."
pl-579853,Aigina (settlement),"An island in plain sight of the Athenian coast, with its own fleet. Perikles is said to have called it the eyesore of the Piraeus, and Athens took it."
pl-570106,Argos,"The old power of the Argive plain, the best farmland in the Peloponnese, and Sparta's nearest rival for it."
pl-570685,Sparta,"An unwalled city on the Eurotas, ringed by mountains that did the work walls do elsewhere. Its defence was the ground and the men, in that order."
pl-540703,Chalcis,"On the Euripos, the narrowest crossing to Euboea, where the current reverses several times a day. A bridge here joins the island to the mainland."
pl-580044,Oropos,"The port facing Euboea, disputed between Athens and Thebes for centuries because whoever held it controlled the short crossing to the island's grain."
pl-540628,Amphiareion,"A healing sanctuary in a wooded ravine near Oropos, where the sick slept for a dream. Its remoteness was the treatment."
pl-579879,Brauron/sanctuary of Artemis Brauronia,"A sanctuary on the marshy east coast where Athenian girls served Artemis before marriage. Far from the city on purpose."
pl-541140,Thermopylae,"A strip between cliff and sea, and in 480 BC the only road south into Greece for an army. THE COAST HAS SILTED SIX KILOMETRES SINCE — the pass is in the terrain, the narrowness is not."
pl-579874,Aphrodite sanctuary at Dafni,"On the Sacred Way between Athens and Eleusis, where the procession halted. A Christian monastery was later built on the same spot for the same reason: everyone passed it."
# ── FROM HERE DOWN: CHOSEN BY THE CORPUS, sources >= 4 ──────────────────────
pl-1001897,Krete,"The long island closing the Aegean from the south, far enough offshore to develop its own power and near enough to be fought over. Invisible to this register until the corpus was asked in Latin."
pl-570577,Peloponnesus/Peloponnesos/Peloponnese,"The peninsula behind the isthmus — an army that got past Corinth was inside, and one that did not was outside. Athenian strategy for thirty years was a argument about that neck of land."
pl-570406,Lacedaemon/Laconia,"The Eurotas valley behind Taygetos and Parnon, farmed by a subject population. The mountains that made Sparta safe also made her unable to leave for long."
pl-580042,Olympos (mountain),"The highest ground in Greece, at the northern edge of it, permanently in cloud. A mountain nobody lived on became the address of the gods."
pl-1001896,Hellas (Late Roman province),"Not a state but a name a scatter of rival cities agreed to answer to. The word does more work in the corpus than any city in it."
pl-570317,Isthmos,"Four miles of land between two seas. It carried the road south, the drag-way for ships, the games, and every congress at which the Greek states tried to act as one."
pl-540775,Euboea (island),"The long island shielding the eastern coast, and Athens' nearest grain and cattle ground. When Euboea revolted the city felt it faster than a defeat abroad."
pl-579888,Attica,"The peninsula itself: thin soil, good stone, silver in the south, and a coastline with more harbours than farmland. A country that had to trade to eat."
pl-594947,Apollonia,"A port on the far Adriatic shore where a Roman army crossing from Italy came ashore. Caesar wintered against it; Octavian was studying there when Caesar died."
pl-579945,Helena (island),"The bare strip off the east coast on the Aegean crossing, named for a landfall in the Helen story. A sea-mark before it was ever a place."
pl-579878,Artemis Tauropolos temple,"A sanctuary at Halai Araphenides on the east coast, facing the sea the Tauric legend comes across. Sited where a ship from the Black Sea would land."
pl-638356144,Acropolis of Athens,"The rock: a spring, one approachable side, and a summit large enough to hold a citadel. Every Athenian century built on top of the last one here."
pl-995644788,"Tholos at the Sanctuary of Asklepios, Epidauros","A round building at the healing sanctuary, on ground reached only by a day's journey. The distance was part of the cure and the sanctuary's income."
pl-570085,A(n)thene,"A small Kynourian town on the disputed border ground between Argos and Sparta. Its name is close enough to Athens to be a trap for a name-matcher."
pl-540639,Anthedon,"The last harbour on the Boeotian coast before the Euripos narrows, a fishing port on the strait a fleet had to pass."
pl-579844,Aegina (island),"The island in the middle of the Saronic Gulf, in sight of both Athens and the Peloponnese, minting silver before Athens did."
pl-570340,Kaukasos (mountain),"The eastern wall of the known world, where Prometheus was chained. Its use in the corpus is as a limit, not a location."
pl-570299,Hydroussa/Hydrea (island),"A waterless rock off the Argolid whose name means the watered one. The harbour was the whole reason for the settlement."
pl-580060,Patroklou Charax (island),"The island off Sounion fortified as a naval station, named for the admiral who entrenched on it. A blockade of Athens starts here."
pl-540740,Doris,"A few villages in the mountains above Phocis, and the claimed homeland of the Dorians. Sparta went to war to defend a place of no value but great genealogy."
pl-570461,Marios,"A minor Laconian settlement. IT IS ALSO A TRAP: the derived form is Marius, and seven rooms name the Roman general, not this ground."
pl-541080,Pyra,"The pyre-sanctuary on Oita where Herakles was said to have burned. A cult sited on a mountain-top because the story required height and fire."
pl-570102,Arcadia,"The high interior of the Peloponnese, poor and mountainous, which supplied the rest of Greece with mercenaries and later with a pastoral fiction."
pl-540689,Boeotia,"The wide plain north of Kithairon — the best cavalry ground near Attica and the corridor any northern army uses. Athens' history is largely the passes into it."
pl-580062,Peiraieus/Piraeus,"The rock peninsula with three natural harbours that Themistokles walled and made the city's seaward half. Athens then built long walls so the two could not be separated."
pl-368305524,Orchestra in the Agora of Athens,"The dancing floor in the Agora where performances were held before the theatre was cut into the Acropolis slope. The city's first audience space was its market."
pl-570292,Hermion(e),"A port on the Argolic peninsula with deep water close inshore, and a cult of Demeter drawing traffic that the harbour then held."
pl-540735,"Dionysos, T.","A temple of the god whose festival carried the drama. Where his precinct stood, the theatre followed."
pl-560353,Cyclades Islands,"The ring of islands that makes the Aegean crossable in day-stages. Whoever held them held the route, which is what the Athenian empire was."
pl-570707,Tegea,"The Arcadian city on the road north out of Laconia. Sparta needed it friendly to march at all, and bound it by treaty rather than conquest."
pl-570498,Mysia (settlement),"A settlement carrying a name that belongs mostly to Asia Minor — a place the corpus reaches for when it means somewhere east."
pl-599604,"Eileithyaia, Zeus Hypatos, Aphrodite?, T.","A shared precinct where three cults sat on one patch of ground. Space inside a city walls was scarcer than piety."
pl-570467,Megalopolis,"A city founded from scratch after Leuktra to hold the Arcadian plain against Sparta. A settlement built as a strategy."
pl-541012,Parnassus (mountain),"The mountain above Delphi, whose cliffs give the oracle its terrace and its inaccessibility. The sanctuary is where it is because the mountain stops there."
pl-541021,Pelion (mountain),"The wooded ridge above the Magnesian coast, timber for ships and the schoolroom of the centaur. A mountain the corpus goes to for wood and for stories."
pl-540618,Akyphas/Pindos,"On the range that divides Thessaly from Epirus — the watershed that decides which sea a river reaches, and which way an army can go."
pl-541063,Plataea,"The Boeotian town under Kithairon that stayed with Athens, and so the ground where the Persian war ended in 479 BC. It was destroyed twice for the choice."
pl-579873,Aphidna,"A deme in the northern hills with its own acropolis, where Theseus was said to have hidden Helen. Far enough from Athens to be a hiding place."
pl-541157,Trachis/Herakleia,"The town behind Thermopylae, on the only ground an army holding the pass can camp. Sparta refounded it to control the road."
pl-676120271,Basilica,"A hall type that arrives with Rome and puts the law court under a roof. Where one stands, the Greek open-air assembly has already ended."
pl-540783,Euripos,"The strait at Chalcis where the current reverses several times a day, forty metres wide. A fleet has to time it, and an army can bridge it."
pl-541052,Phthiotis,"The Achilles country in southern Thessaly. The corpus names it for a man rather than for anything on the ground."
pl-540701,Chaeronea,"The plain at the western entrance to Boeotia where a northern army debouches. Philip destroyed the Greek city-states' independence on it in 338 BC."
pl-540700,Cephisus (river),"The Boeotian river that drains into Lake Kopais with no outlet to the sea — which is why the plain floods and why draining it was worth an empire's effort."
pl-540913,Leuktra,"Flat ground in Boeotia where Epaminondas broke the Spartan line in 371 BC and ended the belief that it could not be broken."
pl-136008628,Pnyx fountain,"The Kallirrhoe spring below the Pnyx, one of the few reliable waters inside the city. Athens sited its assembly next to its drinking water."
pl-541107,Skotoussa (Thessaly),"A Thessalian town on the ridge road, near the Kynoskephalai hills where the phalanx lost to the legion in 197 BC."
pl-580034,Temple of Nemesis,"The sanctuary at Rhamnous above the strait, whose cult statue was said to be cut from marble the Persians brought for their victory monument."
pl-541146,Thisbe,"A small Boeotian town on the Corinthian gulf side of Helicon, reached by a pass. Its harbour is separated from it by the mountain."
pl-570660,Selinous,"A river-name repeated across the Greek world for the celery on its banks. The corpus names the water, not always this one."
pl-570236,Erineos,"A Doris village, and a shore on the Corinthian gulf where a fleet was beached. Two claims on one name."
pl-580054,Paneion (mountain),"A hill with a cave of Pan north of the city, in the sort of high goat ground the god was believed to keep."
pl-570454,Malea,"The cape at the south-east corner of the Peloponnese, where the winds meet. Ancient sailors preferred to drag ships over the isthmus than round it."
pl-541024,Peparethus (island),"A Sporades island growing wine, on the northern Aegean route out to Thrace and the Hellespont."
pl-590048,Siphnos (settlement),"A Cycladic island with gold and silver mines rich enough to pay a tithe at Delphi, until the sea broke into the workings."
pl-560221,Aegaeum Mare,"The sea itself: shallow, island-strewn, and crossable by day-stages, which is why Greek power was naval and dispersed rather than territorial."
pl-203037083,Castalian spring,"The spring at Delphi where pilgrims washed before consulting. The sanctuary's practical requirement and the reason it sits at that height on the cliff."
pl-570281,Helike,"The Achaean city on the gulf swallowed by an earthquake and the sea in 373 BC, with the whole population lost. The corpus keeps it as a warning."
pl-580051,Pallene,"A deme on the road from the east coast into Athens, where Peisistratos beat the city's levy and took the tyranny."
pl-570706,Taygetos (mountain),"The wall west of Sparta: a barrier to Messenia that had to be crossed to hold the subject ground on the other side."
pl-540808,Helicon (mountain),"The mountain the Muses were given, above Askra where Hesiod farmed. The Greek image of poetry starts from a real and poor hillside."
pl-570313,Inachos (river),"The river of the Argive plain, dry most of the year. Argos' claim to its own antiquity runs through a watercourse that is usually a bed."
pl-570479,Messene,"The city built under Ithome after Leuktra to make Messenia permanently free of Sparta — and so to halve Sparta's farmland."
pl-116035285,Munychia,"The hill above the smallest Piraeus harbour, and the fort that commanded all three. Every faction that took Athens took this hill first."
pl-271882541,Palladion,"The court that tried unintentional homicide, named for the image it held. Athens gave each degree of killing its own ground."
pl-570602,Phleious,"A small independent city on the plateau between Corinth, Sicyon and Argos, holding a road junction it was too weak to close."
pl-541048,Phocis,"The region around Delphi, whose people repeatedly seized the sanctuary they lived beside. Proximity to a neutral shrine is not neutrality."
