key,name,kind,class,lat,lon,lat2,lon2,drained,why
tempe,The Vale of Tempe,defile,funnel,39.87,22.55,,,,"The gorge between Olympus and Ossa; the northern door into Thessaly, and why Thermopylae mattered once it was abandoned."
caudine-forks,The Caudine Forks,defile,funnel,41.05,14.60,,,,"A defile a Roman army walked into and could not walk out of."
megiddo,The Pass of Megiddo,pass,funnel,32.58,35.18,,,,"Where the coast road crosses the Carmel ridge; armies between Egypt and Mesopotamia have fought here for three thousand years."
pripet,The Pripet Marshes,marsh,forbid,51.00,25.00,53.00,30.00,,"Impassable wetland the size of a country — it split the Eastern Front in two in both world wars, and neither side could close the gap."
fens,The Fens,fen,forbid,52.30,-0.30,52.90,0.50,1650,"Waterlogged ground that held out against the Normans; drained in the seventeenth century and now farmland."
pontine,The Pontine Marshes,marsh,forbid,41.28,12.82,41.52,13.06,1934,"Malarial marsh on Rome's own doorstep, drained under Mussolini."
dutch-water-line,The Dutch Water Line,marsh,forbid,51.90,4.90,52.40,5.30,,"A country flooding its own fields on purpose — a wall made of shallow water, too deep to walk and too shallow to sail."
teutoburg,The Teutoburg Forest,forest,forbid,51.90,8.20,52.20,8.90,,"Forest and bog together; three legions went in and Roman expansion into Germany ended."
sudd,The Sudd,marsh,forbid,6.50,29.50,9.50,31.50,,"A papyrus swamp that closed the upper Nile to travel and kept its source unknown to the Mediterranean world."
rub-al-khali,The Rub al Khali,sand,forbid,17.00,45.00,23.00,55.00,,"The Empty Quarter — sand on a scale that is not crossed but gone around."
taklamakan,The Taklamakan,sand,forbid,37.00,77.00,41.00,88.00,,"The desert the Silk Road splits to avoid, north and south, and rejoins beyond."
danube-delta,The Danube Delta,marsh,forbid,44.70,28.70,45.30,29.70,,"Reed and channel where the river meets the sea; a barrier at the end of a road."
everglades,The Everglades,marsh,forbid,25.20,-81.30,26.40,-80.40,,"Sawgrass and shallow water, and the reason a war against the Seminole could not be won."
# ============================================================================,,,,,,,,,
# MEASURED 8 SEP · GEBCO 2020 bathymetry · negative metres mean water,,,,,,,,,
# The three faults named in HANDOFF-attica-and-the-storytelling-surface were,,,,,,,,,
# checked rather than taken. ONE OF THE THREE WAS NOT A FAULT.,,,,,,,,,
#,,,,,,,,,
#   hellespont  was 40.22/26.40 at +56 m — ashore at Eceabat on the Gallipoli,,,,,,,,,
#               peninsula. Now 40.415/26.685 at -14 m in the Marmara mouth so,,,,,,,,,
#               the funnel spans the strait. The other end was already water.,,,,,,,,,
#               A SHORTER ALTERNATIVE: 40.148/26.400 at -14 m keeps the,,,,,,,,,
#               original longitude and sits on the axis at the narrowest point.,,,,,,,,,
#,,,,,,,,,
#   bosphorus   NOT MOVED AND NOT WRONG. 41.12/29.07 at -44 m and 41.02/29.00,,,,,,,,,
#               at -25 m. Both endpoints are in the channel. The handoff,,,,,,,,,
#               asserted a fault that measurement does not find.,,,,,,,,,
#,,,,,,,,,
#   pontine     the forbid box draws from (lat2 lon) to (lat lon2). The old box,,,,,,,,,
#               spanned 41.35-41.60 by 12.90-13.20 — mean land 218 m with,,,,,,,,,
#               corners at 965 m and 636 m in the Monti Lepini — and 41.60/13.20,,,,,,,,,
#               is Supino in the Sacco valley over the range from the marsh.,,,,,,,,,
#               The new box measures 47 m mean land and peaks at 297 m.,,,,,,,,,
#,,,,,,,,,
# AND THE BOX CANNOT BE HONEST IN BOTH DIRECTIONS. The marsh is a diagonal,,,,,,,,,
# strip between the Lepini foot and the coast; an axis-aligned rectangle takes,,,,,,,,,
# either hillside or sea. THIS ONE TAKES SEA — about a third of it is water off,,,,,,,,,
# Anzio so the hatch lies over the gulf. To trade that for clipping Terracina,,,,,,,,,
# off the end instead: 41.30/12.85 to 41.50/13.05.,,,,,,,,,
# ============================================================================,,,,,,,,,
