Rank,Full Name,Title,Birth-Date,Death-Date,Biography,Links,Gender,Dialect,Voice,Region,Location,Appearance,AppearanceBasis,Dress,Signature,Set,Epithet,Cliche,Accent,Glyph
0.25,Horus,Luminary,-10000,-3000,Horus is the Egyptian sovereign of the Sky and Rightful King. His Eye remains a primary symbol of 'Sovereign Vision' and watchful protection.,https://en.wikipedia.org/wiki/Special:Search?search=Horus,male,"ancient Egyptian, falcon-clear",cold and commanding,North Africa,Egypt,,,,,,,,,
0.26,Set,Luminary,-10000,-3000,Set is the sovereign of Storms and Chaos. He represents the necessary 'Entropy' that tests and defines the strength of civilizational order.,https://en.wikipedia.org/wiki/Special:Search?search=Set,male,"ancient Egyptian, hissing and dry",sly and silken,North Africa,the Egyptian desert,,,,,,,,,
0.27,Ma'at,Luminary,-10000,-3000,Ma'at is the Egyptian sovereign of Truth and Cosmic Order. Her node is the primary anchor for 'Ethical Sovereignty' and the weighing of the heart.,https://en.wikipedia.org/wiki/Special:Search?search=Ma%27at,female,"ancient Egyptian, balanced and pure",serene and unhurried,North Africa,Egypt,,,,,,,,,
0.28,Anubis,Luminary,-10000,-3000,Anubis is the sovereign of the Threshold between life and the afterlife. He guides the soul through the mysteries of the unknown.,https://en.wikipedia.org/wiki/Special:Search?search=Anubis,male,"ancient Egyptian, sepulchral",grave and deliberate,North Africa,the Egyptian necropolis,,,,,,,,,
0.29,Ptah,Architect,-10000,-3000,Ptah is the Egyptian sovereign of Architects and Artisans. He signifies the power of the mind to manifest physical reality through design.,https://en.wikipedia.org/wiki/Special:Search?search=Ptah,male,"ancient Egyptian, craftsman's measure",aphoristic and patient,North Africa,"Memphis, Egypt",,,,,,,,,
0.3,Adam,Progenitor,-4004,-3074,Adam is the primary archetype of the 'First Man'. He represents the birth of human consciousness and the weight of moral responsibility.,https://en.wikipedia.org/wiki/Special:Search?search=Adam,male,"ancient Near Eastern, first and grave",weary-wise and inward,Middle East,Eden,,,,,,,,,
0.31,Eve,Progenitor,-4004,-3074,Eve is the 'Mother of All Living'. Her decision to seek knowledge remains the primary catalyst for the human journey into time and history.,https://en.wikipedia.org/wiki/Special:Search?search=Eve,female,"ancient Near Eastern, first and tender",tender and lyrical,Middle East,Eden,,,,,,,,,
0.32,Enoch,Architect,-3382,-3017,Enoch was the sovereign of higher knowledge who 'walked with God'. He is traditionally credited with receiving the secrets of astronomy and the calendar.,https://en.wikipedia.org/wiki/Special:Search?search=Enoch,male,"ancient Near Eastern, visionary",thunderous and prophetic,Middle East,antediluvian world,,,,,,,,,
0.33,Sargon of Akkad,King,-2334,-2279,Sargon the Great was the first historical unifier of a multi-ethnic empire. He established the primary model for imperial administration in Mesopotamia.,https://en.wikipedia.org/wiki/Special:Search?search=Sargon%20of%20Akkad,male,"Akkadian, imperial and hard",cold and commanding,Middle East,Akkad,,,,,,,,,
0.34,Thoth,Architect,-10000,-3000,"Thoth is the ancient Egyptian sovereign of Writing, Magic, and Wisdom. He serves as the divine scribe who records the deeds of humanity and maintains the balance of the universe.",https://en.wikipedia.org/wiki/Special:Search?search=Thoth,male,"ancient Egyptian, scribe's precision",aphoristic and patient,North Africa,"Hermopolis, Egypt",,,,,,,,,
0.35,Menes,Pharaoh,-3150,-3100,"Menes was the legendary first Pharaoh of Egypt, credited with the unification of Upper and Lower Egypt into a single kingdom. As the founder of the First Dynasty, his reign marked the beginning of Egypt's Early Dynastic Period and three millennia of civilization.",https://en.wikipedia.org/wiki/Special:Search?search=Menes,male,"ancient Egyptian, unifying and regal",imperious and proud,North Africa,"Memphis, Egypt",,,,,,,,,
0.36,Theseus,Hero,-1300,-1200,"Theseus was the legendary King of Athens who unified Attica. He represents the triumph of reason over chaos, symbolized by the Labyrinth.",https://en.wikipedia.org/wiki/Special:Search?search=Theseus,male,"classical Attic Greek, heroic",blunt and forceful,Southern Europe,"Athens, Greece",,,,,,,,,
0.37,Romulus,Hero,-771,-717,Romulus was the legendary founder of Rome. He represents the sovereignty of the 'Blood Oath' and the will required to birth an eternal city.,https://en.wikipedia.org/wiki/Special:Search?search=Romulus,male,"archaic Latin, founding and fierce",fierce and rallying,Southern Europe,"Rome, Italy",,,,,,,,,
0.38,Minos,King,-2000,-1400,Minos was the legendary King of Crete who established the first thalassocracy (sea empire). He represents the sovereignty of maritime law and judgment.,https://en.wikipedia.org/wiki/Special:Search?search=Minos,male,"Minoan-Greek, judicial",cold and commanding,Southern Europe,"Knossos, Crete",,,,,,,,,
0.39,Cadmus,Architect,-1500,-1400,Cadmus was the founder of Thebes and the person credited with bringing the alphabet to the Greeks. He signifies the sovereignty of shared literacy.,https://en.wikipedia.org/wiki/Special:Search?search=Cadmus,male,"classical Greek, lettered",aphoristic and patient,Southern Europe,"Thebes, Greece",,,,,,,,,
0.4,Lycurgus of Sparta,Lawmaker,-800,-730,"Lycurgus was the legendary lawgiver of Sparta who established the military-oriented social and political system known as the 'Great Rhetra.' He emphasized communal living, physical discipline, and the complete devotion of the citizen to the state. His reforms transformed Sparta into a unique and formidable power in the ancient world, becoming a primary study in political social engineering.",https://en.wikipedia.org/wiki/Special:Search?search=Lycurgus%20of%20Sparta,male,"Doric Greek, severe and law-bound",austere and severe,Southern Europe,"Sparta, Greece","Long grey hair as Spartans wore it, plain and without ornament of any kind; a narrow face spare to the point of severity, a long beard, and a mouth that does not explain itself.",unknown,"Undyed wool, a fold thrown over the shoulder; iron money too heavy to hoard, hung at the belt.","The rhetra — he carries the law, not a spear; the shield at his feet rather than in his hand.",,The Lawgiver of Sparta,"He may never have existed — draw the law, not the warrior.",#b03030,🛡️
0.41,Hercules,Hero,-1300,-1200,Hercules is the ultimate archetype of Strength and Redemption. His Twelve Labors represent the sovereign mastery over the impossible.,https://en.wikipedia.org/wiki/Special:Search?search=Hercules,male,"classical Greek, mighty and rough",blunt and forceful,Southern Europe,"Thebes, Greece",,,,,,,,,
0.42,Perseus,Hero,-1400,-1300,Perseus was the slayer of Medusa and founder of Mycenae. He represents the sovereignty of the Hero-King who conquers the monstrous to establish order.,https://en.wikipedia.org/wiki/Special:Search?search=Perseus,male,"classical Greek, valiant",fierce and rallying,Southern Europe,"Argos, Greece",,,,,,,,,
0.43,Jason,Hero,-1300,-1200,Jason led the Argonauts on the first great maritime quest for the Golden Fleece. He represents the sovereignty of collective leadership and adventure.,https://en.wikipedia.org/wiki/Special:Search?search=Jason,male,"classical Greek, questing",quick and restless,Southern Europe,"Iolcus, Greece",,,,,,,,,
0.44,Orpheus,Luminary,-1300,-1200,Orpheus was the sovereign of Music and Poetry who could charm all living things. He represents the power of the arts to transcend the underworld.,https://en.wikipedia.org/wiki/Special:Search?search=Orpheus,male,"classical Greek, musical and mournful",tender and lyrical,Southern Europe,"Thrace, Greece",,,,,,,,,
0.45,Seth,Progenitor,-3874,-2962,"Seth was the third son of Adam and Eve, appointed to carry the primary lineage of the human spirit. His descendants are traditionally credited with preserving the knowledge of the 'First Age'.",https://en.wikipedia.org/wiki/Special:Search?search=Seth,male,"ancient Near Eastern, somber",melancholy and reflective,Middle East,ancient Canaan,,,,,,,,,
0.46,Achilles,Hero,-1250,-1180,Achilles is the primary archetype of the Warrior and the search for undying glory. His life defines the 'Heroic Ideal' of the ancient world.,https://en.wikipedia.org/wiki/Special:Search?search=Achilles,male,"Homeric Greek, wrathful",fierce and rallying,Southern Europe,"Phthia, Greece",,,,,,,,,
0.47,Odysseus,Hero,-1250,-1170,Odysseus is the sovereign of Intellect and Endurance. His ten-year journey home established the blueprint for the 'Odyssey' of the human life.,https://en.wikipedia.org/wiki/Special:Search?search=Odysseus,male,"Homeric Greek, cunning",sly and silken,Southern Europe,"Ithaca, Greece",Dark curled sea-worn hair; narrowed calculating eyes looking off to the side.,tradition,"Tunic and cloak with a plain travelling cap, not a crown.",The mast he had himself tied to; the bent bow only he could string.,"the mast behind him, and the sea",The Man of Many Turns,Not a hero pose — the whole point is that he is thinking his way out.,#1f8ba0,⛵
0.48,Aeneas,Hero,-1250,-1180,Aeneas was the Trojan hero who founded the lineage of Rome. He represents the sovereignty of Duty (Pietas) and the survival of a cultural legacy.,https://en.wikipedia.org/wiki/Special:Search?search=Aeneas,male,"classical Latin, dutiful and grave",grave and deliberate,Southern Europe,Troy / Latium,,,,,,,,,
0.49,Dido,Queen,-850,-760,Dido was the legendary founder and first Queen of Carthage. She represents the sovereignty of female leadership and the building of a commercial empire.,https://en.wikipedia.org/wiki/Special:Search?search=Dido,female,"Phoenician-Latin, regal and tragic",melancholy and reflective,North Africa,Carthage,,,,,,,,,
0.5,Priam,King,-1250,-1180,Priam was the last King of Troy during the Trojan War. He represents the sovereignty of the Patriarch and the tragic weight of a fallen civilization.,https://en.wikipedia.org/wiki/Special:Search?search=Priam,male,"Homeric Greek, kingly and grieved",weary-wise and inward,Southern Europe,Troy,,,,,,,,,
0.51,Midas,King,-800,-700,Midas was the King of Phrygia famous for his 'Golden Touch'. He represents the sovereign lesson of the dangers of uncontrolled greed.,https://en.wikipedia.org/wiki/Special:Search?search=Midas,male,"Phrygian-Greek, gilded and foolish",playful and mercurial,Western Asia,Phrygia,,,,,,,,,
0.52,Croesus,King,-595,-546,Croesus was the King of Lydia known for his vast wealth and the first use of standardized gold coins. He represents the sovereignty of Currency.,https://en.wikipedia.org/wiki/Special:Search?search=Croesus,male,"Lydian Greek, wealthy and proud",imperious and proud,Western Asia,"Sardis, Lydia",,,,,,,,,
0.53,Belus,King,-2000,-1800,Belus was the legendary founder of Babylon in Greek accounts. He signifies the mythic origin of the Mesopotamian urban and religious structure.,https://en.wikipedia.org/wiki/Special:Search?search=Belus,male,"ancient Mesopotamian, regal",cold and commanding,Middle East,Babylon,,,,,,,,,
0.54,Pangu,Architect,-10000,-3000,Pangu is the primordial giant in Chinese myth who separated heaven from earth. He represents the absolute origin of cosmic sovereignty and form.,https://en.wikipedia.org/wiki/Special:Search?search=Pangu,neutral,"primordial Chinese, vast and unplaceable",serene and unhurried,The Beyond,the cosmic egg,,,,,,,,,
0.55,Shennong,Architect,-2800,-2700,Shennong is the 'Divine Farmer' of China who taught the use of herbal medicine and the plow. He represents the sovereignty of Agriculture and Health.,https://en.wikipedia.org/wiki/Special:Search?search=Shennong,male,"old courtly Chinese, herbal and wise",aphoristic and patient,East Asia,ancient China,,,,,,,,,
0.56,Methuselah,Progenitor,-3317,-2348,"Methuselah is the primary archetype of Longevity, recorded as the longest-lived human in the antediluvian tradition. He represents the sovereignty of Time and ancestral wisdom.",https://en.wikipedia.org/wiki/Special:Search?search=Methuselah,male,"ancient Near Eastern, ancient beyond years",weary-wise and inward,Middle East,antediluvian world,,,,,,,,,
0.57,Huangdi,Emperor,-2717,-2598,The Yellow Emperor is the legendary ancestor of the Chinese people. He represents the sovereignty of the Unifier and the origin of Chinese civilization.,https://en.wikipedia.org/wiki/Special:Search?search=Huangdi,male,"old courtly Chinese, imperial",imperious and proud,East Asia,"Yellow River, China",,,,,,,,,
0.58,Amaterasu,Luminary,-10000,-3000,Amaterasu is the sovereign of the Sun and the primary deity of the Shinto faith. She represents the divine lineage of the Japanese Imperial house.,https://en.wikipedia.org/wiki/Special:Search?search=Amaterasu,female,"classical Japanese, radiant",luminous and exalted,East Asia,"Takamagahara, Japan",,,,,,,,,
0.59,Susanoo,Luminary,-10000,-3000,Susanoo is the sovereign of Storms and the Sea in Japanese myth. He represents the wild and untamable forces of nature that must be mastered.,https://en.wikipedia.org/wiki/Special:Search?search=Susanoo,male,"classical Japanese, stormy",fierce and rallying,East Asia,Japan,,,,,,,,,
0.6,Brahma,Luminary,-10000,-3000,Brahma is the sovereign of Creation in the Hindu Trimurti. He represents the source of all existence and the architect of the cosmic order.,https://en.wikipedia.org/wiki/Special:Search?search=Brahma,male,"Sanskrit-inflected, creative and vast",serene and unhurried,South Asia,India,,,,,,,,,
0.61,Vishnu,Luminary,-10000,-3000,Vishnu is the sovereign of Preservation and the Guardian of Dharma. He represents the stable forces that maintain the balance of the universe.,https://en.wikipedia.org/wiki/Special:Search?search=Vishnu,male,"Sanskrit-inflected, preserving and calm",serene and unhurried,South Asia,India,,,,,,,,,
0.62,Shiva,Luminary,-10000,-3000,Shiva is the sovereign of Destruction and Transformation. He represents the cycle of endings that allow for new beginnings in the cosmic dance.,https://en.wikipedia.org/wiki/Special:Search?search=Shiva,male,"Sanskrit-inflected, wild and ascetic",haunted and hollow,South Asia,Mount Kailash,,,,,,,,,
0.63,Odin,Luminary,-10000,-3000,"Odin is the sovereign of Wisdom, War, and Poetry in Norse myth. He represents the obsessive pursuit of knowledge and the weight of foresight.",https://en.wikipedia.org/wiki/Special:Search?search=Odin,male,"Old Norse, one-eyed and grave",grave and deliberate,Northern Europe,Asgard,,,,,,,,,
0.64,Thor,Luminary,-10000,-3000,Thor is the sovereign of Thunder and the Protector of Mankind. He represents the martial strength and courage required to defend civilization.,https://en.wikipedia.org/wiki/Special:Search?search=Thor,male,"Old Norse, thunderous and bluff",blunt and forceful,Northern Europe,Asgard,,,,,,,,,
0.65,Loki,Luminary,-10000,-3000,Loki is the sovereign of Mischief and Change. He represents the disruptive and chaotic element that forces the gods and humans to evolve.,https://en.wikipedia.org/wiki/Special:Search?search=Loki,neutral,"Old Norse, shifting and sly",sly and silken,Northern Europe,Asgard / Jotunheim,"Long red restless hair swept back sharply; one brow raised — the whole character in one line; the smile slightly off-centre, and the scarred lip of the myth, sewn shut once.",tradition,"Green over dark, the trickster's colours; a clasp at the shoulder.","A small flame in the open hand that is not his; the serpent at the hem — Jormungandr, his child.",,The Sky-Traveller,Not the horned-helmet villain of comics — Norse sources give him no horns.,#7a4fd0,🐍
0.66,Quetzalcoatl,Luminary,-10000,-3000,Quetzalcoatl is the 'Feathered Serpent' and sovereign of Wind and Learning in Mesoamerica. He represents the bridge between earth and sky.,https://en.wikipedia.org/wiki/Special:Search?search=Quetzalcoatl,male,"Nahuatl-inflected, feathered and grand",luminous and exalted,Central America,Mesoamerica,,,,,,,,,
0.67,Noah,Progenitor,-2948,-1998,Noah was the sovereign of Survival who preserved the biological diversity of the Earth during a global cataclysm. His narrative establishes the blueprint for the 'New World'.,https://en.wikipedia.org/wiki/Special:Search?search=Noah,male,"ancient Near Eastern, righteous and weathered",grave and deliberate,Middle East,Mesopotamia,,,,,,,,,
0.68,Viracocha,Luminary,-10000,-3000,Viracocha is the creator god and sovereign of the Andes. He represents the primary architect of the world and the teacher of the Inca people.,https://en.wikipedia.org/wiki/Special:Search?search=Viracocha,male,"Quechua-inflected, foam-born and vast",serene and unhurried,South America,"Lake Titicaca, Andes",,,,,,,,,
0.69,Maui,Hero,-2000,-1000,Maui is the great culture hero of Polynesia who fished up the islands and slowed the sun. He represents the sovereignty of human ingenuity and daring.,https://en.wikipedia.org/wiki/Special:Search?search=Maui,male,"Polynesian, mischievous and bold",playful and mercurial,Oceania,Pacific Islands,,,,,,,,,
0.7,Heimdall,Luminary,-10000,-3000,Heimdall is the watchman of the gods and sovereign of Vigilance. He represents the necessary defense and awareness that guards the gates of order.,https://en.wikipedia.org/wiki/Special:Search?search=Heimdall,male,"Old Norse, watchful and clear",cold and commanding,Northern Europe,Asgard,,,,,,,,,
0.71,Horus the Elder,Luminary,-10000,-3000,Horus the Elder represents the sovereign of the Sky and Light in the earliest Egyptian theology. He is the cosmic falcon whose eyes are the sun and moon.,https://en.wikipedia.org/wiki/Special:Search?search=Horus%20the%20Elder,male,"ancient Egyptian, elder and grave",grave and deliberate,North Africa,Egypt,,,,,,,,,
0.72,Nut,Luminary,-10000,-3000,Nut is the Egyptian sovereign of the Sky and the Stars. She represents the infinite canopy that protects the world and births the sun each day.,https://en.wikipedia.org/wiki/Special:Search?search=Nut,female,"ancient Egyptian, vast and star-strewn",tender and lyrical,North Africa,Egypt,,,,,,,,,
0.73,Geb,Luminary,-10000,-3000,Geb is the Egyptian sovereign of the Earth and the foundation of physical existence. He represents the stability and fertility of the land.,https://en.wikipedia.org/wiki/Special:Search?search=Geb,male,"ancient Egyptian, earthen and deep",grave and deliberate,North Africa,Egypt,,,,,,,,,
0.74,Tiamat,Luminary,-10000,-5000,Tiamat is the primordial sovereign of the Salt Sea and Chaos in Babylon. Her defeat led to the creation of the heavens and the earth.,https://en.wikipedia.org/wiki/Special:Search?search=Tiamat,neutral,"ancient Mesopotamian, salt-deep and primordial",haunted and hollow,The Beyond,the primordial sea,,,,,,,,,
0.75,Marduk,Luminary,-10000,-3000,Marduk is the sovereign of Babylon who defeated Tiamat to become the King of the Gods. He represents the triumph of city-state order over chaos.,https://en.wikipedia.org/wiki/Special:Search?search=Marduk,male,"ancient Babylonian, sovereign and martial",cold and commanding,Middle East,Babylon,,,,,,,,,
0.77,Anu,Luminary,-10000,-3000,Anu is the sovereign of the Heavens and the first of the Sumerian gods. He represents the ultimate and distant source of all cosmic authority.,https://en.wikipedia.org/wiki/Special:Search?search=Anu,male,"ancient Sumerian, sky-high and remote",imperious and proud,Middle East,"Uruk, Sumer",,,,,,,,,
0.78,Nimrod,Architect,-2500,-2100,Nimrod was the legendary 'mighty hunter' and the first sovereign of imperial ambition. He is credited with founding the first great Mesopotamian cities and the Tower of Babel.,https://en.wikipedia.org/wiki/Special:Search?search=Nimrod,male,"ancient Near Eastern, mighty and defiant",imperious and proud,Middle East,Shinar / Babylon,,,,,,,,,
0.79,Ishtar,Luminary,-10000,-3000,Ishtar is the sovereign of Love and War. She represents the fierce and passionate energy that drives both human procreation and conflict.,https://en.wikipedia.org/wiki/Special:Search?search=Ishtar,female,"ancient Mesopotamian, fierce and amorous",fierce and rallying,Middle East,Uruk,,,,,,,,,
0.8,Bran the Blessed,King,-500,-100,Bran is the giant-king of Britain in Welsh myth. He represents the sovereignty of the 'Guardian of the Land' whose head protects the isle.,https://en.wikipedia.org/wiki/Special:Search?search=Bran%20the%20Blessed,male,"Welsh-Celtic, giant and noble",grave and deliberate,Western Europe,Wales,,,,,,,,,
0.81,Cuchulainn,Hero,-100,50,Cuchulainn is the primary hero of Irish myth. He represents the sovereignty of the individual warrior's prowess and the 'Warp Spasm' of battle.,https://en.wikipedia.org/wiki/Special:Search?search=Cuchulainn,male,"Irish-Gaelic, fierce and lilting",fierce and rallying,Western Europe,"Ulster, Ireland",,,,,,,,,
0.82,Fionn mac Cumhaill,Hero,100,280,Fionn was the leader of the Fianna and seeker of the Salmon of Knowledge. He represents the sovereignty of the hunter-warrior and wisdom.,https://en.wikipedia.org/wiki/Special:Search?search=Fionn%20mac%20Cumhaill,male,"Irish-Gaelic, heroic and wild",blunt and forceful,Western Europe,Ireland,,,,,,,,,
0.83,King Arthur,King,450,537,Arthur is the legendary King of the Britons and sovereign of the Round Table. He represents the ideal of chivalry and a unified national identity.,https://en.wikipedia.org/wiki/Special:Search?search=King%20Arthur,male,"Brittonic-Welsh, kingly and worn",weary-wise and inward,Western Europe,"Camelot, Britain","A level courteous gaze, courteous even to enemies; short beard.",tradition,"A plain circlet, no jewelled crown — the point was the table; belt and travelling dress.","The round table, drawn edge-on so no seat is at its head.",,The Once and Future,"Legend, not record — draw the table, not a coronation.",#3f7fd0,🗡️
0.84,Merlin,Architect,450,550,Merlin is the sovereign of Magic and the advisor to kings. He represents the hidden knowledge and prophetic vision that guides the state.,https://en.wikipedia.org/wiki/Special:Search?search=Merlin,male,"Brittonic-Welsh, arcane and sly",sly and silken,Western Europe,Britain,,,,,,,,,
